Question,Answer
this steak has too much fat.,what do you want the waiter to do?
what do you want the waiter to do?,bring me a better steak.
bring me a better steak.,i wouldn't do that.
i wouldn't do that.,why not?
why not?,"they will drop the new steak on the floor, step on it, and then spit on it."
"they will drop the new steak on the floor, step on it, and then spit on it.",you're crazy.
you're crazy.,then the waiter will give you a big smile as he brings you the new steak.
then the waiter will give you a big smile as he brings you the new steak.,where do you get these crazy ideas?
where do you get these crazy ideas?,i used to cook in a restaurant!
let's leave.,but we just got here.
but we just got here.,did you see the waiter's hands?
did you see the waiter's hands?,no.
no.,he had dirty fingernails.
he had dirty fingernails.,really?
really?,his nails were black!
his nails were black!,that's disgusting.
that's disgusting.,and he poured water into our glasses.
and he poured water into our glasses.,yuck! no water for me.
yuck! no water for me.,"i wonder if the cooks' nails are dirty, too."
"i wonder if the cooks' nails are dirty, too.",who cares? let's get out of here.
this hot bread is delicious.,i like this restaurant because they give you free bread.
i like this restaurant because they give you free bread.,"well, i think we are paying for it."
"well, i think we are paying for it.",no. look at the bill when we get it. there's no charge for the bread.
no. look at the bill when we get it. there's no charge for the bread.,"it is delicious, especially with butter."
"it is delicious, especially with butter.",i think we should just leave after we fill up on the bread.
i think we should just leave after we fill up on the bread.,they probably wouldn't like that.
they probably wouldn't like that.,i'm eating so much bread that i'm getting full.
i'm eating so much bread that i'm getting full.,then stop eating the bread!
then stop eating the bread!,"okay, just one more piece. pass the butter, please."
"okay, just one more piece. pass the butter, please.","if i owned a restaurant, i would never serve hot bread before the main course."
"if i owned a restaurant, i would never serve hot bread before the main course.",that's terrible. i would never go to your restaurant.
is this a clean restaurant?,"well, the tables and chairs look okay."
"well, the tables and chairs look okay.","okay, let's sit down."
"okay, let's sit down.",check out the silverware.
check out the silverware.,it passes inspection.
it passes inspection.,here comes the waiter. see if his hands and nails are clean.
here comes the waiter. see if his hands and nails are clean.,"well, the waiter looked clean, so i guess it's okay to eat here."
"well, the waiter looked clean, so i guess it's okay to eat here.",you're forgetting about the bathroom.
you're forgetting about the bathroom.,i'm going to just hope that the bathroom is clean.
i'm going to just hope that the bathroom is clean.,you're not going to examine it before we order dinner?
you're not going to examine it before we order dinner?,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now."
"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.","me, too. let's forget about germs and focus on food."
have you seen our waiter?,here he comes now.
here he comes now.,we've been sitting here for almost 10 minutes.
we've been sitting here for almost 10 minutes.,"oops, i guess i was wrong. that isn't our waiter."
"oops, i guess i was wrong. that isn't our waiter.","we can give him five more minutes, and then leave."
"we can give him five more minutes, and then leave.",i'll go up front and talk to the manager.
i'll go up front and talk to the manager.,that's a good idea.
that's a good idea.,maybe they'll give us free drinks for waiting so long.
maybe they'll give us free drinks for waiting so long.,maybe he'll send us our waiter immediately.
maybe he'll send us our waiter immediately.,"every time we eat out, it's an adventure."
"every time we eat out, it's an adventure.","last time, we got seats next to the kitchen."
"last time, we got seats next to the kitchen.",we'll never go there again.
is this table okay?,"no, it's too close to the kitchen door."
"no, it's too close to the kitchen door.",how about this table?
how about this table?,"no, it's too close to the front door."
"no, it's too close to the front door.",this looks like a nice table.
this looks like a nice table.,"no, it's too close to the salad bar."
"no, it's too close to the salad bar.","okay, i give up."
"okay, i give up.","well, there is one good table."
"well, there is one good table.",great. which one?
great. which one?,that one. a group of eight just sat down at it.
i don't believe the art world.,what is it this time?
what is it this time?,an andy warhol drawing.
an andy warhol drawing.,he's a famous artist.
he's a famous artist.,he drew two butterflies and a flower on a napkin in a restaurant.
he drew two butterflies and a flower on a napkin in a restaurant.,did he sign it?
did he sign it?,yes.
yes.,is it beautiful?
is it beautiful?,it's just black ink on a white napkin. and the napkin has food stains!
it's just black ink on a white napkin. and the napkin has food stains!,so it's not worth much?
so it's not worth much?,"only about $30,000."
"only about $30,000.","without the food stains, it would probably be worth more."
can we go to the baseball game?,of course.
of course.,i love baseball.
i love baseball.,so do i.
so do i.,i love to eat the peanuts.
i love to eat the peanuts.,i love to eat the hot dogs.
i love to eat the hot dogs.,i hope we'll see a home run.
i hope we'll see a home run.,i hope we'll catch a foul ball.
i hope we'll catch a foul ball.,bring a jacket.
bring a jacket.,yes. it gets a little cool at night.
yes. it gets a little cool at night.,bring a glove to catch a foul ball.
bring a glove to catch a foul ball.,no. i'll just use my cap to catch a foul ball.
golf is a silly game.,it certainly is.
it certainly is.,you hit a white ball.
you hit a white ball.,and then you chase it.
and then you chase it.,and then you hit it again.
and then you hit it again.,"finally, you put the ball into a hole in the ground."
"finally, you put the ball into a hole in the ground.","you do this 18 times, because there are 18 holes."
"you do this 18 times, because there are 18 holes.",what's the point?
what's the point?,how can it be fun?
how can it be fun?,they pay money to play this silly game!
they pay money to play this silly game!,i think golfers have a mental problem.
i think golfers have a mental problem.,i think they're nuts.
do you want to go fishing?,yes. that's a good idea.
yes. that's a good idea.,where do you want to go?
where do you want to go?,we can go to the river.
we can go to the river.,or we can go to the lake.
or we can go to the lake.,or we can go to the ocean.
or we can go to the ocean.,let's go to the lake.
let's go to the lake.,yes. the lake is only 10 miles away.
yes. the lake is only 10 miles away.,we can be there in 20 minutes.
we can be there in 20 minutes.,i'll get our fishing rods.
i'll get our fishing rods.,i'll get the bait.
i'll get the bait.,we'll have fresh fish for dinner!
baseball is fun.,i like to hit the ball.
i like to hit the ball.,i like to run around the bases.
i like to run around the bases.,i like to slide into the bases.
i like to slide into the bases.,yeah. it's a lot of fun to slide.
yeah. it's a lot of fun to slide.,i want to be a baseball player when i grow up.
i want to be a baseball player when i grow up.,me too. i want to play for the yankees.
me too. i want to play for the yankees.,not me. i want to play for the dodgers.
not me. i want to play for the dodgers.,we have to practice every day.
we have to practice every day.,i don't like practice.
i don't like practice.,me neither. it's boring.
me neither. it's boring.,but practice makes perfect.
let's go jogging.,that's a good idea.
that's a good idea.,i bought some new shoes.
i bought some new shoes.,are they comfortable?
are they comfortable?,they're very comfortable.
they're very comfortable.,how much were they?
how much were they?,they were on sale for $80.
they were on sale for $80.,do they help you run faster?
do they help you run faster?,"no, but my feet don't hurt anymore."
"no, but my feet don't hurt anymore.",then they're worth every penny.
then they're worth every penny.,you might want to buy a pair.
you might want to buy a pair.,i'll wait until i wear this pair out.
tiger is the greatest golfer in the world.,you can say that again.
you can say that again.,but i'm worried about tiger.
but i'm worried about tiger.,why is that?
why is that?,because he likes to scuba dive.
because he likes to scuba dive.,what's wrong with that?
what's wrong with that?,it can be dangerous.
it can be dangerous.,you mean he could drown.
you mean he could drown.,he shouldn't scuba dive until he retires.
he shouldn't scuba dive until he retires.,but he dives to relax.
but he dives to relax.,"he might relax, but it makes me nervous."
"he might relax, but it makes me nervous.","if his wife doesn't mind, you shouldn't mind."
did you watch that golf tournament?,the one that tiger won?
the one that tiger won?,how did he do it?
how did he do it?,it was nothing for him.
it was nothing for him.,he sank a 20-foot putt on the last hole to win by one stroke!
he sank a 20-foot putt on the last hole to win by one stroke!,he sank a 25-footer last year at the same tournament to win by one stroke.
he sank a 25-footer last year at the same tournament to win by one stroke.,i think he is from outer space.
i think he is from outer space.,no human could possibly play golf that well.
no human could possibly play golf that well.,"whenever he needs a shot to win a tournament, he makes that shot."
"whenever he needs a shot to win a tournament, he makes that shot.",no human can do that.
no human can do that.,somebody should check his birth record.
somebody should check his birth record.,i bet it says he was born on mars.
who's the greatest baseball player?,there are so many great players.
there are so many great players.,"yes, but who is the greatest?"
"yes, but who is the greatest?",i'd have to say babe ruth.
i'd have to say babe ruth.,most people would say that.
most people would say that.,he changed the game.
he changed the game.,"yes, he made the home run popular."
"yes, he made the home run popular.","everybody loved him, all over the nation."
"everybody loved him, all over the nation.",he helped make the yankees the best team ever.
he helped make the yankees the best team ever.,"and ruth was a good person, too."
"and ruth was a good person, too.",he always visited hospitals to cheer up sick kids.
he always visited hospitals to cheer up sick kids.,there will never be another babe.
did you hear what happened at the baseball game?,"no, please tell me."
"no, please tell me.",someone punched out someone.
someone punched out someone.,that's not nice.
that's not nice.,it's worse than that.
it's worse than that.,how so?
how so?,two guys got into an argument.
two guys got into an argument.,i'll bet they were drinking.
i'll bet they were drinking.,a third guy punched one of the two guys.
a third guy punched one of the two guys.,"i'll bet he was drinking, too."
"i'll bet he was drinking, too.",the victim hit his head on the concrete steps and died.
the victim hit his head on the concrete steps and died.,that's terrible. can't people just have fun at a baseball game?
i want to go to the ball game.,is there a game tonight?
is there a game tonight?,"yes, it starts at 7 p.m."
"yes, it starts at 7 p.m.",can we get tickets?
can we get tickets?,"yes, but only the cheap tickets."
"yes, but only the cheap tickets.",how much are they?
how much are they?,they're only $5 each.
they're only $5 each.,that's a good price.
that's a good price.,"yes, it's cheaper than a hot dog or a beer."
"yes, it's cheaper than a hot dog or a beer.",where are the seats?
where are the seats?,they're behind the outfield.
they're behind the outfield.,maybe we can catch a home run ball.
golf is so hard.,what's so hard about hitting a little white ball?
what's so hard about hitting a little white ball?,it's hard if you want to do it right.
it's hard if you want to do it right.,you mean like tiger?
you mean like tiger?,"no, like a good amateur golfer."
"no, like a good amateur golfer.",what's so hard about golf?
what's so hard about golf?,there are so many things you have to do right.
there are so many things you have to do right.,like what?
like what?,"like keep your left arm straight, keep your head down, and follow through."
"like keep your left arm straight, keep your head down, and follow through.",yikes! who can remember all that?
yikes! who can remember all that?,you need to get a lot of lessons when you're really young.
you need to get a lot of lessons when you're really young.,forget it. golf sounds more like work than fun.
did you hear about the ball player?,the home run hitter on drugs?
the home run hitter on drugs?,he said a doctor helped him with a personal problem.
he said a doctor helped him with a personal problem.,he said he wasn't using drugs.
he said he wasn't using drugs.,he apologized to the fans.
he apologized to the fans.,the league suspended him for 50 games.
the league suspended him for 50 games.,that will cost him some money.
that will cost him some money.,"yes, about $7 million."
"yes, about $7 million.",that will teach him a good lesson.
that will teach him a good lesson.,he probably won't use drugs anymore.
he probably won't use drugs anymore.,but it won't stop other players from using drugs.
but it won't stop other players from using drugs.,no. everyone always figures that they won't get caught.
why is there so much crime?,because parents don't teach their kids right from wrong.
because parents don't teach their kids right from wrong.,is that it?
is that it?,"also, there aren't enough police."
"also, there aren't enough police.",but there are a lot of police.
but there are a lot of police.,there's only one police officer per 100 criminals.
there's only one police officer per 100 criminals.,can't we hire more police?
can't we hire more police?,no. it costs too much money.
no. it costs too much money.,doesn't crime cost more than police?
doesn't crime cost more than police?,"yes, it does."
"yes, it does.",so it would be cheaper to hire more police?
so it would be cheaper to hire more police?,"yes, it would."
this is a great neighborhood.,"yes, it is."
"yes, it is.",people are friendly.
people are friendly.,"yes, they are."
"yes, they are.",the streets and sidewalks are clean.
the streets and sidewalks are clean.,"yes, they are."
"yes, they are.",there's a real nice park nearby.
there's a real nice park nearby.,"yes, there is."
"yes, there is.",i feel safe here.
i feel safe here.,there is no crime here.
there is no crime here.,i wish i could move here.
i wish i could move here.,"maybe you can, if someone moves out."
the house burned down.,what happened?
what happened?,the man fell asleep.
the man fell asleep.,was he smoking?
was he smoking?,"yes, he was smoking a cigarette."
"yes, he was smoking a cigarette.",did he die?
did he die?,"yes, he did. his cat died, too."
"yes, he did. his cat died, too.",that's too bad. what about his smoke alarm?
that's too bad. what about his smoke alarm?,the battery was dead.
the battery was dead.,a good battery would have saved his life.
a good battery would have saved his life.,"he had cigarettes, but no battery."
"he had cigarettes, but no battery.",it happens all the time.
they say he has started fifteen big fires.,he's been in jail three times already.
he's been in jail three times already.,why did they ever let him out?
why did they ever let him out?,it's the law. they can't keep him in jail forever.
it's the law. they can't keep him in jail forever.,why not? everyone knows he's a firebug. he loves to start fires.
why not? everyone knows he's a firebug. he loves to start fires.,i don't know. sometimes the law doesn't make sense.
i don't know. sometimes the law doesn't make sense.,but his latest fire killed someone.
but his latest fire killed someone.,this time they have charged him with murder.
this time they have charged him with murder.,so maybe he'll go to jail forever?
so maybe he'll go to jail forever?,i sure hope so.
i sure hope so.,someone should set him on fire.
someone should set him on fire.,that would teach him a good lesson.
put your seatbelt on.,why?
why?,because it will protect you in case of an accident.
because it will protect you in case of an accident.,but it's uncomfortable.
but it's uncomfortable.,it's the law.
it's the law.,it's so much trouble.
it's so much trouble.,it's common sense.
it's common sense.,it's so tight that it's hard for me to breathe.
it's so tight that it's hard for me to breathe.,hold your breath till we get there.
hold your breath till we get there.,"okay, my seatbelt is on."
"okay, my seatbelt is on.",i'm glad you don't complain very much.
i'm glad you don't complain very much.,i'm ready for an accident.
what are you doing?,i'm going to change the light bulb. it burnt out.
i'm going to change the light bulb. it burnt out.,what are you standing on?
what are you standing on?,a couple of dictionaries and some textbooks.
a couple of dictionaries and some textbooks.,are you crazy?
are you crazy?,what's the matter?
what's the matter?,those books will slip and you'll fall.
those books will slip and you'll fall.,it's only a couple of feet.
it's only a couple of feet.,"what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?"
"what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?",i never thought about that.
i never thought about that.,you'd be blind for the rest of your life!
you'd be blind for the rest of your life!,i'll get the stepladder.
did you see that puddle of water on the floor?,yes. i called for a clean-up.
yes. i called for a clean-up.,a puddle of water is very dangerous.
a puddle of water is very dangerous.,it isn't easy to see.
it isn't easy to see.,but it's real easy to slip on.
but it's real easy to slip on.,especially on these slick floors.
especially on these slick floors.,someone who slips could hurt their back.
someone who slips could hurt their back.,they could even crack their head open.
they could even crack their head open.,we should stand here till the clean-up person gets here.
we should stand here till the clean-up person gets here.,we can leave if we put an orange cone here.
we can leave if we put an orange cone here.,"yes, but i don't know where the orange cones are."
"yes, but i don't know where the orange cones are.", it doesn't matter. here he comes now with the mop.
what happens when the fire alarm rings?,we tell our students to leave the classroom.
we tell our students to leave the classroom.,can they take their belongings?
can they take their belongings?,"yes, if they do it quickly."
"yes, if they do it quickly.",where do the students go?
where do the students go?,they go out to the north parking lot.
they go out to the north parking lot.,what do the teachers do?
what do the teachers do?,we take our rosters to the parking lot and take roll.
we take our rosters to the parking lot and take roll.,why do you do that?
why do you do that?,we want to make sure all the students are out of the building.
we want to make sure all the students are out of the building.,"if they are all outside, then what?"
"if they are all outside, then what?",then we just wait outside for a fireman to tell us to go back in.
i have to go back upstairs.,why? we're already late.
why? we're already late.,i have to check the stove.
i have to check the stove.,what's the matter?
what's the matter?,maybe i left the burner on.
maybe i left the burner on.,"no, you didn't. i checked the stove before we left."
"no, you didn't. i checked the stove before we left.",are you sure?
are you sure?,of course i'm sure.
of course i'm sure.,"well, i have to go back upstairs anyway."
"well, i have to go back upstairs anyway.",it's getting later every minute.
it's getting later every minute.,i think i left the water running.
i think i left the water running.,"no, you didn't. let's go! the only thing running is the clock!"
the city is buying guns.,what are they paying?
what are they paying?,"up to $200 for each gun, no questions asked."
"up to $200 for each gun, no questions asked.",why are they doing this?
why are they doing this?,they want to get guns off the street.
they want to get guns off the street.,who would turn in a gun for $200?
who would turn in a gun for $200?,that isn't a good deal?
that isn't a good deal?,a good gun costs $400 or more.
a good gun costs $400 or more.,"well, if you bring your receipt, maybe they'll give you $400."
"well, if you bring your receipt, maybe they'll give you $400.",i'll keep my receipt and my gun.
i'll keep my receipt and my gun.,i didn't know you had a gun.
i didn't know you had a gun.,everyone in america should have a gun.
you're yawning.,i sure am.
i sure am.,you should go to bed.
you should go to bed.,i will as soon as i finish this article.
i will as soon as i finish this article.,what are you reading?
what are you reading?,it's about crime in los angeles.
it's about crime in los angeles.,what does it say?
what does it say?,the mayor says the crime rate is going down.
the mayor says the crime rate is going down.,then why does everyone lock their doors?
then why does everyone lock their doors?,i guess they haven't read this article.
i guess they haven't read this article.,no one believes that the crime rate is going down.
no one believes that the crime rate is going down.,maybe the mayor is just talking about his own neighborhood.
people who live in california are crazy.,why is that?
why is that?,because of all the earthquakes and fires.
because of all the earthquakes and fires.,but big earthquakes happen only once in a while.
but big earthquakes happen only once in a while.,once in a while is once too many.
once in a while is once too many.,but you're right. there are a lot of fires.
but you're right. there are a lot of fires.,a recent fire destroyed 85 homes.
a recent fire destroyed 85 homes.,"still, it's safer than florida."
"still, it's safer than florida.",florida doesn't have earthquakes or fires.
florida doesn't have earthquakes or fires.,"no, florida just has hurricanes every year from june to october."
"no, florida just has hurricanes every year from june to october.",but most of those hurricanes are harmless.
but most of those hurricanes are harmless.,"excuse me. hurricane andrew destroyed 30,000 homes!"
i went to hawaii on vacation.,did you like it?
did you like it?,i loved it. i want to live there.
i loved it. i want to live there.,what did you like?
what did you like?,"the island is so green, and the water is so blue."
"the island is so green, and the water is so blue.",did you go swimming?
did you go swimming?,i went to the beach every day.
i went to the beach every day.,how was the weather?
how was the weather?,it was hot and sunny every day.
it was hot and sunny every day.,what did you do at night?
what did you do at night?,at night i went out to eat. the food was delicious.
at night i went out to eat. the food was delicious.,people who live in hawaii are lucky.
i like this hotel.,what do you like about it?
what do you like about it?,we get a free breakfast.
we get a free breakfast.,coffee and a roll?
coffee and a roll?,"no, a real breakfast."
"no, a real breakfast.",bacon and eggs?
bacon and eggs?,"with toast, ham, sausage, fresh fruit, and juice."
"with toast, ham, sausage, fresh fruit, and juice.",wow! that is nice. let's stay for two nights.
wow! that is nice. let's stay for two nights.,"and the rooms are clean, too."
"and the rooms are clean, too.",do they allow pets?
do they allow pets?,"no pets, no smoking."
"no pets, no smoking.",i like that. let's stay three nights.
i'm not sleeping here tonight.,what's the matter? this is a nice room.
what's the matter? this is a nice room.,"maybe the room is nice, but not the bed."
"maybe the room is nice, but not the bed.",what's wrong with the bed?
what's wrong with the bed?,look at this sheet.
look at this sheet.,yes?
yes?,see those stains?
see those stains?,i sure do.
i sure do.,i'm not sleeping on that sheet.
i'm not sleeping on that sheet.,"well, just call the front desk. they'll give us new sheets."
"well, just call the front desk. they'll give us new sheets.",i want sheets without stains on them.
i want sheets without stains on them.,"from now on, let's bring our own sheets."
what time does your plane leave?,it leaves at 12:15.
it leaves at 12:15.,when do you have to be at the airport?
when do you have to be at the airport?,i have to be there two hours early.
i have to be there two hours early.,so we have to be at the airport at 10:15.
so we have to be at the airport at 10:15.,that means we have to leave the house at 9:15.
that means we have to leave the house at 9:15.,"well, it's an hour to get there, if there are no traffic problems."
"well, it's an hour to get there, if there are no traffic problems.",so maybe we better leave at 8:15?
so maybe we better leave at 8:15?,"yes, it's better to get there too early than too late."
"yes, it's better to get there too early than too late.",i agree.
i agree.,you never know what might happen on these freeways.
you never know what might happen on these freeways.,there's at least one huge accident every day.
i need to fly to new york.,when are you going?
when are you going?,during the christmas holidays.
during the christmas holidays.,you'd better buy your ticket now.
you'd better buy your ticket now.,you must be kidding.
you must be kidding.,"no, i'm not. it's march. time is running out. seats are selling out right now."
"no, i'm not. it's march. time is running out. seats are selling out right now.",i thought i would wait until october.
i thought i would wait until october.,i'll bet this is the first time you've ever flown during christmas.
i'll bet this is the first time you've ever flown during christmas.,you're right.
you're right.,"well, listen to me. you need to buy a ticket now."
"well, listen to me. you need to buy a ticket now.",but maybe prices will be cheaper in october.
but maybe prices will be cheaper in october.,cheaper prices won't do you any good if there are no seats.
i hate flying.,so do i.
so do i.,"a long time ago, flying used to be okay."
"a long time ago, flying used to be okay.",now it's like riding a bus.
now it's like riding a bus.,you're jammed in with people all around you.
you're jammed in with people all around you.,"half of them are coughing, and the other half are sneezing."
"half of them are coughing, and the other half are sneezing.",you don't have any elbow room or knee room.
you don't have any elbow room or knee room.,people are always getting up to use the bathroom.
people are always getting up to use the bathroom.,kids are crying or climbing over you.
kids are crying or climbing over you.,it's a flying zoo!
it's a flying zoo!,i wish i could afford first class seats.
i wish i could afford first class seats.,doesn't everybody?
some guy rowed across the atlantic ocean.,good for him.
good for him.,why would he do that?
why would he do that?,did he set a new record?
did he set a new record?,"yes, i think he did."
"yes, i think he did.","well, i guess that's why he did it."
"well, i guess that's why he did it.",what's the point?
what's the point?,now he has the world record!
now he has the world record!,"but someone's going to break it, so what good is it?"
"but someone's going to break it, so what good is it?","well, he can enjoy it while it lasts."
"well, he can enjoy it while it lasts.",i don't think he even got paid for it.
i don't think he even got paid for it.,some people do it just to do it.
i want to go on a cruise ship.,that sounds like fun. where do you want to go?
that sounds like fun. where do you want to go?,i want to cruise to hawaii.
i want to cruise to hawaii.,"that should be a nice trip. lots of fun, and lots of food."
"that should be a nice trip. lots of fun, and lots of food.",i have no idea how much it will cost.
i have no idea how much it will cost.,i think it depends on the season and on your cabin.
i think it depends on the season and on your cabin.,"well, of course i want to go when the weather is nice."
"well, of course i want to go when the weather is nice.","yes, you don't want to travel in winter storms."
"yes, you don't want to travel in winter storms.",and i want to get a big cabin with a view.
and i want to get a big cabin with a view.,are you going to travel alone?
are you going to travel alone?,"no, my sister and i will travel together."
"no, my sister and i will travel together.","well, you should go online and try to find a good deal."
i hate to fly.,because of all the security?
because of all the security?,"no, because it hurts my ears."
"no, because it hurts my ears.",what do you mean?
that's pretty old.,"it still works, but i'm going to give it to a charity."
"it still works, but i'm going to give it to a charity.",are you going to buy a desktop or laptop?
are you going to buy a desktop or laptop?,"oh, a laptop, of course."
"oh, a laptop, of course.",a pc or a mac?
a pc or a mac?,i haven't decided yet.
i haven't decided yet.,more and more people are using macs.
more and more people are using macs.,but 90 percent of the world uses pcs.
but 90 percent of the world uses pcs.,and that's not going to change anytime soon.
i got ripped off.,what happened?
what happened?,"i had a car problem, so i went online."
"i had a car problem, so i went online.",did you find a solution?
did you find a solution?,"yes, i did. a site i went to said they would send me the solution."
"yes, i did. a site i went to said they would send me the solution.","so, what's the problem?"
"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution."
"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?
what are you going to do?,i sent them an email asking for my money back.
i sent them an email asking for my money back.,have you heard from them?
have you heard from them?,not yet. it's been a week.
not yet. it's been a week.,"well, i guess that's a $20 lesson for you."
where's the pencil sharpener?,which one?
which one?,any one. i need to sharpen this pencil.
any one. i need to sharpen this pencil.,i think there's one on the dining room table.
i think there's one on the dining room table.,i already looked there.
i already looked there.,did you look in the desk drawer?
did you look in the desk drawer?,"yes, i looked there, too."
"yes, i looked there, too.",don't we have about five sharpeners?
don't we have about five sharpeners?,"yes, but they seem to have legs."
"yes, but they seem to have legs.",tomorrow i'm going to buy an electric sharpener.
tomorrow i'm going to buy an electric sharpener.,get one with the rubber suction cups on the bottom.
get one with the rubber suction cups on the bottom.,yes. that way it will stay where i put it.
i'm trying to stretch my dollars.,how are you doing that?
how are you doing that?,i started shopping at the dollar store.
i started shopping at the dollar store.,that saves a lot of money.
that saves a lot of money.,i bought three pounds of potatoes for a dollar.
i bought three pounds of potatoes for a dollar.,that's a good deal.
that's a good deal.,"yes, even though some of the potatoes had eyes."
"yes, even though some of the potatoes had eyes.",just put them in the fridge.
just put them in the fridge.,"also, i bought a can of cheap coffee and a bag of good coffee."
"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?
why did you do that?,i mixed them together.
i mixed them together.,"if the coffee still tastes okay, that's a good idea."
i really like this house.,can we afford it?
can we afford it?,they want 20 percent down.
they want 20 percent down.,that's a lot of money.
that's a lot of money.,but the house is so nice.
but the house is so nice.,it's in a great neighborhood.
it's in a great neighborhood.,it's close to the beach.
it's close to the beach.,it's close to the freeways.
it's close to the freeways.,it's got a big yard.
it's got a big yard.,"the kids love the house, too."
"the kids love the house, too.","if we don't buy it, someone else will."
"if we don't buy it, someone else will.",you're right. let's buy it now. we can worry later.
we can't afford this house.,are you sure?
are you sure?,"we will be house rich, but cash poor."
"we will be house rich, but cash poor.",what do you mean?
what do you mean?,our monthly payments will be too high.
our monthly payments will be too high.,we won't have any money for other things?
we won't have any money for other things?,"no, we won't have money for gas or food."
"no, we won't have money for gas or food.",we'll be eating peanut butter sandwiches?
we'll be eating peanut butter sandwiches?,without the peanut butter!
without the peanut butter!,that's no good!
that's no good!,we have to find a cheaper house.
we have to find a cheaper house.,of course. we can't live without gas or peanut butter.
that is a beautiful house.,i don't like it.
i don't like it.,what's the matter with it?
what's the matter with it?,it's on the corner.
it's on the corner.,so?
so?,that means it gets twice as much traffic.
that means it gets twice as much traffic.,you're right.
you're right.,"when you're inside, you will always hear cars stopping and stopping at the intersection."
"when you're inside, you will always hear cars stopping and stopping at the intersection.",or you'll hear the collision if someone doesn't stop.
or you'll hear the collision if someone doesn't stop.,or you'll see the collision if they crash into the house.
or you'll see the collision if they crash into the house.,let's find a house that's at the end of a dead end.
let's find a house that's at the end of a dead end.,"that's perfect. the less traffic, the better."
i hate looking for an apartment.,"me, too."
"me, too.",we have a 2 o'clock appointment to see the one on main street.
we have a 2 o'clock appointment to see the one on main street.,we'd better get ready to go.
we'd better get ready to go.,it's an upstairs unit.
it's an upstairs unit.,"that's good, because i don't want to live under people with loud feet."
"that's good, because i don't want to live under people with loud feet.",and it's a corner unit.
and it's a corner unit.,that's great. we won't have neighbors on both sides of us.
that's great. we won't have neighbors on both sides of us.,no pets are allowed.
no pets are allowed.,perfect. we don't have to listen to barking dogs.
perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.
and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.
did you call the manager?,yes. he said he'd come over tomorrow.
yes. he said he'd come over tomorrow.,did he say what time?
did he say what time?,yes. he said he'd be here at 9 o'clock.
yes. he said he'd be here at 9 o'clock.,did he understand what the problem is?
did he understand what the problem is?,yes. i told him our doorbell doesn't work.
yes. i told him our doorbell doesn't work.,it shouldn't take him long to fix it.
it shouldn't take him long to fix it.,i don't even know why we need to fix it.
i don't even know why we need to fix it.,in case we have visitors.
in case we have visitors.,but they can just knock on the door.
but they can just knock on the door.,"actually, i want him to look at our carpet, too."
"actually, i want him to look at our carpet, too.","yes, it would be nice if he'd give us a new carpet."
do you like this house?,"yes, it's beautiful."
"yes, it's beautiful.",it's perfect for us and the kids.
it's perfect for us and the kids.,"three bedrooms, three bathrooms, and a big back yard."
"three bedrooms, three bathrooms, and a big back yard.",and we can afford it!
and we can afford it!,so are we going to buy it?
so are we going to buy it?,i'm afraid not.
i'm afraid not.,"it's too far from your job, isn't it?"
"it's too far from your job, isn't it?",i can't spend four hours on the road every day.
i can't spend four hours on the road every day.,"by the time you get home, you'll be too tired to even eat."
"by the time you get home, you'll be too tired to even eat.",i won't be able to play with the kids.
i won't be able to play with the kids.,"no, we have to find something closer to your job."
"boy, it's chilly outside, isn't it?",it sure is.
it sure is.,"in fact, it's chilly in the apartment, too."
"in fact, it's chilly in the apartment, too.",let's turn on the heat.
let's turn on the heat.,i'll check to make sure that all the windows are shut.
i'll check to make sure that all the windows are shut.,it should be warmer in a few minutes.
it should be warmer in a few minutes.,it's so nice to have a heated apartment.
it's so nice to have a heated apartment.,how did they survive in the old days?
how did they survive in the old days?,they had fireplaces.
they had fireplaces.,someone had to chop the wood.
someone had to chop the wood.,and carry it into the house.
and carry it into the house.,all we have to do is flip a switch.
this is a nice neighborhood.,the streets are clean and quiet.
the streets are clean and quiet.,the neighbors don't party on the weekends.
the neighbors don't party on the weekends.,people take care of their lawns.
people take care of their lawns.,no rusty old cars are sitting in the front yards.
no rusty old cars are sitting in the front yards.,we never have to call the police about anything.
we never have to call the police about anything.,our kids are completely safe.
our kids are completely safe.,so why are we selling our house?
so why are we selling our house?,they're building a 3-story apartment building on the corner.
they're building a 3-story apartment building on the corner.,so we've got to sell before property values go down?
so we've got to sell before property values go down?,yes. i still can't believe our city council allowed this building.
yes. i still can't believe our city council allowed this building.,they're probably getting something under the table.
that was a huge fire in santa barbara.,"yes, it was."
"yes, it was.",they said about 30 houses burned to the ground.
they said about 30 houses burned to the ground.,and they were expensive houses.
and they were expensive houses.,i feel so sorry for those people.
i feel so sorry for those people.,why feel sorry for rich people?
why feel sorry for rich people?,i feel sorry for anyone who loses their home.
i feel sorry for anyone who loses their home.,"so do i, but not if they're rich."
